component_name,unit_name,operand_name,current_state,event_type,route_path,http_method,next_state,description
catalog,cursor,register,REQUESTED,CatalogRegisterCanceled,/catalog/register,POST,CANCELED,Register Catalog for cursor from REQUESTED to CANCELED
catalog,cursor,register,REGISTERED,CatalogRegisterStarted,/catalog/register,POST,STARTED,Register Catalog for cursor from REGISTERED to STARTED
catalog,cursor,register,REGISTERED,CatalogRegisterCanceled,/catalog/register,POST,CANCELED,Register Catalog for cursor from REGISTERED to CANCELED
catalog,cursor,register,STARTED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for cursor from STARTED to FAILED
catalog,cursor,register,STARTED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for cursor from STARTED to COMPLETED
catalog,cursor,register,STARTED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for cursor from STARTED to TERMINATED
catalog,cursor,register,STARTED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for cursor from STARTED to PAUSED
catalog,cursor,register,FAILED,CatalogRegisterRestarted,/catalog/register,POST,RESTARTED,Register Catalog for cursor from FAILED to RESTARTED
catalog,cursor,register,TERMINATED,CatalogRegisterRestarted,/catalog/register,POST,RESTARTED,Register Catalog for cursor from TERMINATED to RESTARTED
catalog,cursor,register,PAUSED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for cursor from PAUSED to COMPLETED
catalog,cursor,register,PAUSED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for cursor from PAUSED to TERMINATED
catalog,cursor,register,PAUSED,CatalogRegisterContinued,/catalog/register,POST,CONTINUED,Register Catalog for cursor from PAUSED to CONTINUED
catalog,cursor,register,CONTINUED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for cursor from CONTINUED to FAILED
catalog,cursor,register,CONTINUED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for cursor from CONTINUED to COMPLETED
catalog,cursor,register,CONTINUED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for cursor from CONTINUED to TERMINATED
catalog,cursor,register,CONTINUED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for cursor from CONTINUED to PAUSED
catalog,cursor,register,RESTARTED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for cursor from RESTARTED to FAILED
catalog,cursor,register,RESTARTED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for cursor from RESTARTED to COMPLETED
catalog,cursor,register,RESTARTED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for cursor from RESTARTED to TERMINATED
catalog,cursor,register,RESTARTED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for cursor from RESTARTED to PAUSED
catalog,cursor,register,RESTARTED,CatalogRegisterContinued,/catalog/register,POST,CONTINUED,Register Catalog for cursor from RESTARTED to CONTINUED
workload,workflow,register,REQUESTED,WorkloadRegisterRegistered,/workload/register,POST,REGISTERED,Register Workload for workflow from REQUESTED to REGISTERED
workload,workflow,register,REQUESTED,WorkloadRegisterCanceled,/workload/register,POST,CANCELED,Register Workload for workflow from REQUESTED to CANCELED
workload,workflow,register,REGISTERED,WorkloadRegisterStarted,/workload/register,POST,STARTED,Register Workload for workflow from REGISTERED to STARTED
workload,workflow,register,REGISTERED,WorkloadRegisterCanceled,/workload/register,POST,CANCELED,Register Workload for workflow from REGISTERED to CANCELED
workload,workflow,register,STARTED,WorkloadRegisterFailed,/workload/register,POST,FAILED,Register Workload for workflow from STARTED to FAILED
workload,workflow,register,STARTED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for workflow from STARTED to COMPLETED
workload,workflow,register,STARTED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for workflow from STARTED to TERMINATED
workload,workflow,register,STARTED,WorkloadRegisterPaused,/workload/register,POST,PAUSED,Register Workload for workflow from STARTED to PAUSED
workload,workflow,register,FAILED,WorkloadRegisterRestarted,/workload/register,POST,RESTARTED,Register Workload for workflow from FAILED to RESTARTED
workload,workflow,register,TERMINATED,WorkloadRegisterRestarted,/workload/register,POST,RESTARTED,Register Workload for workflow from TERMINATED to RESTARTED
